"longitude";"latitude"
-113.547;44.341
-113.615;44.355
-113.631;44.361
-113.634;44.362
-113.596;44.356
-113.599;44.357
-113.605;44.353
-113.604;44.349
-113.588;44.35
-113.58;44.35
-113.569;44.349
-113.601;44.337
-113.594;44.356
-113.62;44.362
-113.608;44.346
-113.606;44.342
-113.576;44.347
-113.636;44.347
-113.608;44.347
-114.08;46.56
-114.12;46.599
-114.098;46.575
-114.006;46.697
-114.049;46.702
-114.221;46.657
-114.034;46.711
-114.046;46.704
-114.037;46.701
-114.018;46.7
-114.029;46.701
-114.022;46.729
-114.024;46.699
-113.996;46.69
-114.023;46.689
-114.023;46.69
-114.021;46.696
-114.031;46.695
-114.032;46.686
-113.992;46.702
-113.985;46.708
-114.009;46.703
-114.107;46.671
-114.108;46.658
-114.024;46.667
-112.083;45.113
-112.093;45.118
-112.154;45.107
-112.086;45.124
-112.1;45.126
-112.102;45.117
-112.05;45.026
-112.073;45.112
-112.059;45.154
-112.091;45.158
-112.081;45.123
-112.097;45.124
-115.425;33.074
-115.411;33.127
-115.443;33.112
-115.449;33.126
-115.446;33.146
-115.432;33.19
-115.053;32.431
-115.039;32.442
-115.191;32.286
-115.1909;32.28565
-115.201;32.3
-115.20096;32.3002
-115.205;32.216
-115.20474;32.21551
-115.078;32.371
-115.07755;32.37086
-114.896;32.458
-114.89581;32.45848
-114.896;32.461
-114.89561;32.46126
-114.913;32.451
-114.91313;32.45068
-114.96005;32.3209
-115.014;32.36
-115.01428;32.35959
-114.935;32.346
-114.93541;32.34594
-114.948;32.349
-114.94798;32.34854
-114.962;32.445
-114.96187;32.4453
-114.982;32.481
-114.98169;32.48124
-114.909;32.486
-114.90945;32.48566
-114.874;32.358
-114.87381;32.35784
-114.925;32.347
-114.91142;32.3513
-114.915;32.348
-114.91463;32.34799
-114.8;32.485
-114.79997;32.48457
-114.831;32.496
-114.83099;32.49617
-114.824;32.548
-114.8241;32.54758
-114.925;32.437
-114.92546;32.4369
-114.906;32.526
-114.9059;32.52613
-115.039;32.372
-115.0391;32.3724
-115.146;32.397
-115.14586;32.3969
-114.873;32.692
-114.87271;32.69167
-114.77;32.588
-114.7705;32.58753
-114.88425;32.55475
-114.95613;32.3358
-114.95522;32.33366
-114.95575;32.33659
-114.84615;32.50987
-114.82175;32.46689
-114.90329;32.42955
-114.918;32.43563
-114.91629;32.43459
-114.97538;32.34268
-114.97572;32.39204
-114.97507;32.39582
-114.91731;32.43176
-114.90945;32.46923
-114.90838;32.37987
-114.79387;32.38325
-114.87377;32.43115
-114.90027;32.43728
-114.98013;32.42379
-114.9513;32.41472
-114.97627;32.42578
-115.00035;32.4567
-115.00659;32.45098
-114.93012;32.40802
-114.9179;32.44362
-114.84061;32.50924
-114.85639;32.44901
-114.87816;32.4456
-114.87923;32.43143
-114.85589;32.53135
-114.93112;32.53675
-114.85942;32.49088
-114.85872;32.43861
-114.89205;32.4422
-114.89908;32.43997
-114.90342;32.44923
-114.65452;32.52439
-114.91081;32.4585
-114.86548;32.44738
-114.86143;32.44868
-114.83344;32.45331
-113.27238;43.24058
-114.00576;46.67273
-114.06379;46.69703
-114.01438;46.67547
-114.04083;46.68075
-114.00869;46.68455
-114.02416;46.6852
-114.02153;46.69568
-114.02816;46.70165
-114.00823;46.65747
-113.99649;46.58859
-113.9874;46.72204
-114.11357;46.69259
-114.15807;46.7393
-114.03277;46.69657
-114.02644;46.70816
-114.03637;46.6863
-114.04128;46.6883
-113.94325;46.64177
-113.96516;46.64083
-113.97718;46.64477
-113.95633;46.61192
-113.9729;46.59451
-113.97345;46.59414
-113.96982;46.59779
-114.01928;46.59851
-114.03496;46.69372
-113.89291;46.66799
-113.95189;46.67742
-114.03178;46.69939
-114.01858;46.69814
-113.96787;46.58062
-113.97473;46.58399
-113.95314;46.60801
-114.0874;46.6118
-113.94805;46.60136
-113.94573;46.60768
-114.07608;46.69842
-114.04822;46.69141
-114.01389;46.6902
-114.01351;46.69064
-114.00976;46.68221
-114.01088;46.68361
-114.0379;46.6718
-114.01825;46.68977
-114.01396;46.6863
-114.00026;46.69038
-113.95478;46.74046
-114.01937;46.69187
-114.0201;46.68109
-114.01369;46.68349
-114.01982;46.68127
-114.01539;46.68466
-114.02929;46.68825
-114.0197;46.6927
-114.02305;46.69478
-114.02499;46.68898
-114.00708;46.69097
-114.03754;46.69738
-114.02077;46.70132
-114.02498;46.67971
-114.02289;46.68977
-114.02085;46.6891
-114.01784;46.69156
-114.02103;46.68912
-113.9682;46.60722
-113.97424;46.58873
-113.96691;46.58613
-113.96838;46.58629
-113.96661;46.60634
-113.95541;46.60522
-113.95759;46.60717
-113.95269;46.6088
-114.03592;46.72117
-114.03375;46.72094
-114.02828;46.71832
-114.0054;46.72826
-114.03325;46.72172
-114.01153;46.72868
-114.04159;46.71836
-114.03648;46.72306
-114.03356;46.7221
-114.03739;46.72506
-114.03831;46.72367
-114.01887;46.74897
-114.03788;46.72396
-114.03177;46.72526
-114.0343;46.72521
-114.03371;46.72029
-114.00336;46.72512
-114.02701;46.71812
-114.03319;46.70674
-114.02422;46.7236
-114.03198;46.72029
-114.02912;46.7201
-114.02644;46.72151
-114.03075;46.72035
-113.9264;46.56578
-113.92828;46.56613
-113.96806;46.57015
-113.94864;46.54734
-113.93946;46.55331
-113.93895;46.55383
-113.93221;46.55531
-112.55979;45.93607
-112.47898;45.56834
-112.21377;45.26339
-112.11889;45.18702
-112.10023;45.12538
-112.08946;45.16948
-112.09647;45.11893
-112.11269;45.11732
-112.079;45.11926
-112.09129;45.11203
-112.15873;45.1822
-112.20134;45.32884
-112.09427;45.11514
-112.09456;45.10447
-112.13778;45.1748
-112.16784;45.21247
-112.10985;45.142
-112.10733;45.14394
-112.10262;45.14185
-112.09388;45.13401
-112.09852;45.1381
-112.0979;45.1374
-112.27891;45.14668
-112.34329;45.09415
-112.17594;45.12914
-112.12246;45.128
-112.15743;45.05641
-112.09624;45.13732
